qui;ordc;10;47;61;0
qui;ordc;100;759;899;0
qui;ordc;1000;11027;12537;0
qui;ordc;10000;147164;163794;0
qui;ordc;100000;1752741;1893249;0,006
qui;ordc;1000000;20936999;22425977;0,068
qui;ordi;10;48;74;0
qui;ordi;100;771;1060;0
qui;ordi;1000;10984;13975;0
qui;ordi;10000;146261;177522;0
qui;ordi;100000;1748191;2036668;0,006
qui;ordi;1000000;20922934;23906285;0,067
qui;ale;10;71;98;0
qui;ale;100;1080;1518;0
qui;ale;1000;15277;21808;0
qui;ale;10000;194443;279667;0,001
qui;ale;100000;1918467;2413817;0,01
qui;ale;1000000;21042076;22885670;0,066
