selo;ordc;10;54;9;0.000000s
selo;ordc;100;5049;99;0.000000s
selo;ordc;1000;500499;999;0.001000s
selo;ordc;10000;50004999;9999;0.143000s
selo;ordc;100000;705082703;99999;13.911000s
selo;ordc;1000000;1784293663;999999;1411.121000s
selo;ordi;10;54;49;0.000000s
selo;ordi;100;5049;2673;0.000000s
selo;ordi;1000;500499;251030;0.001000s
selo;ordi;10000;50004999;24054887;0.160000s
selo;ordi;100000;705082703;2387229902;15.860000s
selo;ordi;1000000;1784293663;247184169091;1600.545000s
selo;ale;10;54;45;0.000000s
selo;ale;100;5049;604;0.000000s
selo;ale;1000;500499;7002;0.002000s
selo;ale;10000;50004999;70663;0.151000s
selo;ale;100000;705082703;273510;16.163000s
selo;ale;1000000;1784293663;1165547;1621.360000s
