shell;ordc;10;19;49;0.000000s
shell;ordc;100;350;1034;0.000000s
shell;ordc;1000;5469;16383;0.000000s
shell;ordc;10000;75261;225747;0.000000s
shell;ordc;100000;967168;2901460;0.007000s
shell;ordc;1000000;11804291;35412821;0.079000s
shell;ordi;10;32;75;0.000000s
shell;ordi;100;578;1490;0.000000s
shell;ordi;1000;9389;24223;0.000000s
shell;ordi;10000;128807;332839;0.002000s
shell;ordi;100000;1585299;4137722;0.009000s
shell;ordi;1000000;18046320;47896879;0.107000s
shell;ale;10;35;81;0.000000s
shell;ale;100;827;1988;0.000000s
shell;ale;1000;13613;32671;0.000000s
shell;ale;10000;234526;544277;0.001000s
shell;ale;100000;3409468;7786060;0.027000s
shell;ale;1000000;28135306;68074851;0.219000s
